id,text,timestamp,source,symbols,company_names,url,verified
1016447027398336500,Top Shorted Stocks 07/09/18... 8. $NVAX 78.59% 9. $BKLN 77.56% 10. $GFI 77.07% 11. $XLI 77.06% 12. $ORCL 77.03% 13. $NEAR 76.76%...,Mon Jul 09 22:20:30 +0000 2018,ShortStockVolum,NVAX,Novavax,,False
1016447045622747100,EPS for Allegion plc $ALLE Expected At $1.21 - https://t.co/EUtVoiEAle,Mon Jul 09 22:20:35 +0000 2018,whatsonthorold2,ALLE,Allegion plc,https://www.whatsonthorold.com/2018/07/09/eps-for-allegion-plc-alle-expected-at-1-21/,False
1016447231933800400,$1.21 EPS Expected for Allegion plc $ALLE https://t.co/av29lbpScM,Mon Jul 09 22:21:19 +0000 2018,reurope_stock,ALLE,Allegion plc,https://reurope.com/2018/07/09/1-21-eps-expected-for-allegion-plc-alle/,False
1016447298795077600,$1.21 EPS Expected for Allegion plc $ALLE - https://t.co/rBB5hZUWg9,Mon Jul 09 22:21:35 +0000 2018,bibeypost_stock,ALLE,Allegion plc,https://www.bibeypost.com/1-21-eps-expected-for-allegion-plc-alle/,False
1016447331334524900,SLM $SLM Now Covered by Stephens https://t.co/zkg3YMSTHu,Mon Jul 09 22:21:43 +0000 2018,TickerReport,SLM,SLM Corporation,http://tickerreport.com/?p=3625105,False
1016447491552751600,$1.48 Earnings Per Share Expected for Mid-America Apartment Communities Inc $MAA This Quarter https://t.co/OcNtOnsqAi,Mon Jul 09 22:22:21 +0000 2018,MareaInformativ,MAA,Mid-America Apartment Communities,http://www.mareainformativa.com/?p=412481,False
1016447790002696200,$1.48 Earnings Per Share Expected for Mid-America Apartment Communities Inc $MAA This Quarter https://t.co/R2aCr5AKhB,Mon Jul 09 22:23:32 +0000 2018,dispatchtribune,MAA,Mid-America Apartment Communities,http://dispatchtribunal.com/?p=2043263,False
1016447952821411800,@seanandlizs $isr cancels shelf offering - buyout rumors swirling. $FCRE $GNPX $CYAD $gsk $mrk $pfe $teva $jnj… https://t.co/RJAj1Ozi9e,Mon Jul 09 22:24:11 +0000 2018,professorzinnel,NVAX,Novavax,https://twitter.com/i/web/status/1016447952821411840,False
1016448003115241500,@MarketCurrents $isr cancels shelf offering - buyout rumors swirling. $FCRE $GNPX $CYAD $gsk $mrk $pfe $teva $jnj… https://t.co/Bv49yQb08L,Mon Jul 09 22:24:23 +0000 2018,professorzinnel,NVAX,Novavax,https://twitter.com/i/web/status/1016448003115241473,False
1016448204567732200,Jacobs Engineering Group $JEC and Orion Group $ORN Critical Survey https://t.co/I3NkLpvObF,Mon Jul 09 22:25:11 +0000 2018,dailypoliticaln,JEC,Jacobs Engineering Group Inc.,http://www.dailypolitical.com/?p=2191409,False
1016448212465537000,SLM $SLM Now Covered by Stephens https://t.co/5tkBK0V99J,Mon Jul 09 22:25:13 +0000 2018,dailypoliticaln,SLM,SLM Corporation,http://www.dailypolitical.com/?p=2191401,False
1016448432465219600,$1.48 EPS Expected for Mid-America Apartment Communities Inc $MAA This Quarter https://t.co/rejyAM8uS3,Mon Jul 09 22:26:05 +0000 2018,OlympiaReport,MAA,Mid-America Apartment Communities,http://theolympiareport.com/?p=913805,False
1016448721905766400,Orion Group $ORN &amp; Jacobs Engineering Group $JEC Critical Analysis https://t.co/aHfL5oRa6P,Mon Jul 09 22:27:14 +0000 2018,TickerReport,JEC,Jacobs Engineering Group Inc.,http://tickerreport.com/?p=3625117,False
1016449992100376600,$isr cancels shelf offering - buyout rumors swirling surging 40% after hours. $FCRE $GNPX $CYAD $gsk $mrk $pfe… https://t.co/wNDm7iDRA0,Mon Jul 09 22:32:17 +0000 2018,professorzinnel,NVAX,Novavax,https://twitter.com/i/web/status/1016449992100376576,False
1016450342744141800,$isr cancels shelf offering - buyout rumors swirling. $FCRE $GNPX $CYAD $gsk $mrk $pfe $teva $jnj $EXAS $EHTH $CHKE… https://t.co/uf47vDKD0y,Mon Jul 09 22:33:41 +0000 2018,professorzinnel,NVAX,Novavax,https://twitter.com/i/web/status/1016450342744141824,False
1016450499699269600,Investors Buy Ross Stores $ROST on Weakness https://t.co/LND48jCOWo,Mon Jul 09 22:34:18 +0000 2018,ConsumerFeed,ROST,Ross Stores,http://zpr.io/6Txkg,False
1016450811507986400,XL Group Ltd $XL Receives Consensus Rating of “Hold” from Brokerages  https://t.co/kdfA5usqA7,Mon Jul 09 22:35:32 +0000 2018,EnterpriseLeade,XL,XL Group Ltd,http://theenterpriseleader.com/?p=976126,False
1016451159089872900,For my biotech peeps $ARRY hit me with the drug news or buyout got till July expiration. I’m waiting for that HALT up 50% move 😎,Mon Jul 09 22:36:55 +0000 2018,LanceIppolito,ARRY,Array BioPharma Inc.,,False
1016451202962350100,RT @teresaarthur66: $JNJ $WMT $LOW $T $ANDV $DPS $BDX $SO $PG $CTLT $BR $SRE $BHGE $GS $IT $FII $EIX $NEE $IP $MMM $URI $EHC Largest MOC SE…,Mon Jul 09 22:37:06 +0000 2018,freelancer1a2b,IP,International Paper Company,,False
1016451373154684900,XL Group Ltd $XL Given Consensus Rating of “Hold” by Analysts https://t.co/je4sKmcu50,Mon Jul 09 22:37:46 +0000 2018,MareaInformativ,XL,XL Group Ltd,http://www.mareainformativa.com/?p=412681,False
1016452568791253000,$SRCL Stericycle Inc. Daily Stock Price Summary From our Stock News Alerts App,Mon Jul 09 22:42:31 +0000 2018,Allstocknews,SRCL,Stericycle,,False
1016455137294835700,RT @ClassicIsComing: Alert* Misinformation on behalf of @MinerGate blog post "Most Important Forks of Summer 2018" #EtherEmerald $ETE has…,Mon Jul 09 22:52:44 +0000 2018,JasonCrypto1688,ETE,Energy Transfer Equity,,False
1016455935861166100,$1.31 Billion in Sales Expected for Patterson Companies Inc. $PDCO This Quarter https://t.co/2uGHg9rpWy,Mon Jul 09 22:55:54 +0000 2018,TickerReport,PDCO,Patterson Companies,http://tickerreport.com/?p=3625172,False
1016455974419222500,RT @SwingTradeBot: On our Top 50 Bearish List today: $MBI $WBS $HTBK $NINE $ANAT $LNTH $TM $SLM $SPN $FUN ... https://t.co/19w60vf4EH,Mon Jul 09 22:56:03 +0000 2018,AlertTrade,SLM,SLM Corporation,https://swingtradebot.com/scans/top-fifty-bearish?selected_date=2018-07-09,False
1016455977116332000,RT @SwingTradeBot: On our Top 50 Bearish List today: $MBI $WBS $HTBK $NINE $ANAT $LNTH $TM $SLM $SPN $FUN ... https://t.co/19w60vf4EH,Mon Jul 09 22:56:04 +0000 2018,tradnews_,SLM,SLM Corporation,https://swingtradebot.com/scans/top-fifty-bearish?selected_date=2018-07-09,False
1016455977493598200,RT @SwingTradeBot: On our Top 50 Bullish List today: $IRTC $LOB $NEWA $CBZ $STKL $JOUT $ORLY $GLMD $EPM $VUZI ... https://t.co/Aqt3GDx3J0,Mon Jul 09 22:56:04 +0000 2018,AlertTrade,ORLY,O'Reilly Automotive,https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2018-07-09,False
1016455980220125200,RT @SwingTradeBot: On our Top 50 Bullish List today: $IRTC $LOB $NEWA $CBZ $STKL $JOUT $ORLY $GLMD $EPM $VUZI ... https://t.co/Aqt3GDx3J0,Mon Jul 09 22:56:05 +0000 2018,tradnews_,ORLY,O'Reilly Automotive,https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2018-07-09,False
